daily_active_users,monthly_revenue,growth_rate,churn_rate,marketing_spend,sector,valuation
28236,6726.684955,0.187515262,0.104281504,7582.548142,Fintech,3264298.579
20555,4968.453117,0.071450636,0.209358778,5827.004301,Fintech,3032519.217
30450,6404.473278,0.16269783,0.130249776,10837.78327,E-commerce,3228930.388
47170,9727.782376,0.168116462,0.132138067,9067.173847,E-commerce,3296243.884
19592,4366.839844,0.185719672,0.0919226,6081.000521,SaaS,3222154.179
19593,3606.252533,0.142832872,0.169968824,7305.697926,E-commerce,3105196.307
48513,11080.01123,0.14352423,0.139517162,8214.706745,Fintech,3280660.148
32328,7589.325559,0.112854604,0.157984824,9745.025498,SaaS,3163405.835
17418,3619.825044,0.14233209,0.131260423,2517.046057,Healthcare,3137615.976
28890,5553.325633,0.131103979,0.15929005,6685.88519,Fintech,3151021.288
17470,3179.841991,0.134900947,0.176057387,8766.599667,E-commerce,3093834.839
17450,3919.3955,0.175601879,0.157199033,6867.23172,SaaS,3161043.548
24859,4942.703497,0.144428097,0.150772327,5128.317408,Fintech,3151498.808
8462,1797.940358,0.196703431,0.109946916,4225.481423,E-commerce,3164654.292
9297,1924.89631,0.152943781,0.145644817,6196.045548,Fintech,3102184.152
16628,3196.598907,0.2,0.057394102,2329.697974,E-commerce,3237364.69
13274,2861.685999,0.180397756,0.12715594,6593.960379,Gaming,3158114.767
25774,5468.509442,0.134933154,0.164632023,8426.963105,E-commerce,3153004.237
13988,3128.980386,0.148474125,0.119993083,5822.540836,SaaS,3140262.24
10870,2148.259292,0.119544293,0.214256416,6658.511149,SaaS,3026511.68
45835,8938.958756,0.132643027,0.179357952,12856.98086,Healthcare,3239006.015
19675,4663.056734,0.111010727,0.155666829,6525.141754,Fintech,3110429.198
22782,5220.574061,0.178895021,0.131576685,4326.041626,Gaming,3209114.818
10803,2528.490241,0.134468043,0.22605728,4080.499638,SaaS,3037447.497
16777,3164.650322,0.152557052,0.147573794,7054.279757,Healthcare,3135354.007
23282,4555.886368,0.070303335,0.243508654,6564.948055,Gaming,3003661.908
12388,2728.91791,0.135995984,0.152641205,5436.15027,Gaming,3099231.904
26578,6378.828818,0.125998563,0.165019446,10054.5684,Fintech,3164766.324
16312,3954.812184,0.169740155,0.161540917,5339.62543,SaaS,3139299.816
19037,4535.254897,0.156469465,0.156246214,5163.505454,E-commerce,3141884.508
16303,2984.06617,0.172666038,0.148729558,7024.667864,E-commerce,3146383.018
55611,13205.47386,0.136389177,0.158909015,10756.21275,E-commerce,3323826.825
21878,5314.962175,0.176337745,0.1327072,9388.285804,Fintech,3207643.733
12979,2387.778251,0.156297991,0.14217105,10565.46537,Healthcare,3134855.708
33232,6950.129266,0.092644027,0.219645326,11413.9882,Healthcare,3105595.59
11963,2602.702851,0.141505984,0.15622413,5166.350022,Healthcare,3093921.214
24451,4799.548556,0.137012706,0.198552255,7609.488099,Healthcare,3120903.523
8268,1787.27699,0.048046409,0.247228408,4435.346075,Fintech,2920450.424
11337,2743.745654,0.11402197,0.194491351,3145.663126,SaaS,3042522.538
24304,5849.631947,0.199500056,0.064489312,9681.804922,Gaming,3290813.935
31864,7831.808259,0.126355901,0.197464229,4557.325838,E-commerce,3161940.317
23997,5132.662798,0.135236061,0.141278023,6832.119033,Fintech,3154367.446
20788,4339.280596,0.074597756,0.212476645,7527.546339,Healthcare,3024834.256
18947,4293.487727,0.100421292,0.174817809,9054.684847,SaaS,3081519.574
10516,2199.665796,0.159445098,0.11205862,7560.236972,Fintech,3140383.378
15368,2811.362319,0.128626464,0.190815003,6530.82992,Healthcare,3069604.295
17495,4030.751806,0.108273536,0.175918665,5229.337043,Gaming,3080011.522
37367,7461.026885,0.170852921,0.099962957,2609.758589,SaaS,3270033.243
26155,4797.767844,0.116318677,0.153288291,3386.943074,E-commerce,3127687.645
9122,1655.127382,0.106561093,0.215604557,5444.435067,E-commerce,3006210.127
25901,6350.803175,0.13868956,0.15404983,8927.575713,E-commerce,3164232.744
18168,3590.820185,0.11676621,0.182241223,4885.857537,SaaS,3073099.652
15701,3318.452566,0.117920892,0.200520126,6519.53277,Gaming,3056898.776
29906,7373.035758,0.133705984,0.178123434,7497.38706,SaaS,3173636.149
36882,7845.767285,0.112858944,0.190991384,7635.800472,SaaS,3158591.142
35088,6508.917076,0.083025864,0.2423906,7403.600715,E-commerce,3058515.505
14478,3165.405106,0.15975626,0.114509225,7196.754787,SaaS,3158270.318
18871,3513.287775,0.166852753,0.126994366,5532.004509,Healthcare,3173243.104
25994,4851.940002,0.129912991,0.188234561,7560.653343,Fintech,3120228.372
35874,8595.532198,0.151258334,0.185640397,8575.440618,Healthcare,3215652.297
17333,3471.098053,0.130551602,0.2085505,3963.559453,Healthcare,3071212.075
20073,4566.746285,0.082995216,0.193080498,9201.523938,E-commerce,3062313.232
12667,2731.318119,0.170767672,0.130721181,9031.941699,E-commerce,3152783.146
12111,2368.461899,0.141168237,0.168680955,2444.645056,E-commerce,3074470.83
33066,7150.43722,0.138541105,0.158188391,6961.032878,Fintech,3190313.117
43395,8020.678214,0.125826854,0.188073359,8252.168695,E-commerce,3182869.96
21247,4340.865455,0.134278901,0.210911374,7164.338902,E-commerce,3088558.029
36379,7879.638132,0.136670678,0.145330981,12001.36828,Gaming,3217180.752
26392,5172.504836,0.142074963,0.132831189,7870.551686,SaaS,3180731.02
15953,3608.778687,0.180191983,0.132547815,3737.488324,SaaS,3166882.449
26388,4845.544909,0.150384758,0.140323804,3855.173039,E-commerce,3164342.699
47525,10167.34133,0.16231585,0.151204882,11764.57968,Gaming,3304907.429
21635,4977.125361,0.184749815,0.119135992,7488.337703,Gaming,3210791.482
48161,10118.44425,0.078370615,0.217903502,8976.430652,SaaS,3171465.409
5943,1433.576695,0.185426567,0.100762428,6418.526157,SaaS,3154992.554
33221,7449.925347,0.153529159,0.148398379,7915.716726,Fintech,3222486.259
23006,5684.656162,0.153527885,0.138651471,6925.135357,Gaming,3179473.334
18967,3791.28569,0.170515661,0.151810524,7878.748329,Fintech,3155662.995
23060,5666.193738,0.130905539,0.171185156,6460.544782,E-commerce,3137063.223
8153,1813.85972,0.164135249,0.110373877,5774.648338,E-commerce,3135758.24
19735,4581.72739,0.108724026,0.21926684,6031.77876,Fintech,3066303.364
26332,6402.659457,0.094905782,0.202343102,3895.212254,Fintech,3089278.257
46117,10080.42925,0.143651085,0.19805292,9825.259687,E-commerce,3210243.885
16998,4085.514437,0.139696732,0.15490685,7281.193455,SaaS,3130665.435
14702,3203.841988,0.142803625,0.141220822,5414.703986,E-commerce,3119675.011
17139,3803.896929,0.117783155,0.176240226,6373.101212,SaaS,3084365.885
34811,7350.582849,0.144902708,0.15307799,4349.201759,SaaS,3204254.4
25961,4937.644571,0.124656556,0.170204612,7491.560879,E-commerce,3127784.56
16900,3696.794325,0.140431288,0.146914757,3184.563038,Healthcare,3124112.33
28470,7072.556578,0.121633016,0.16925382,6559.796964,Gaming,3168387.676
23121,5435.816919,0.114758206,0.218245982,5295.339175,Healthcare,3073098.804
35750,8305.614958,0.126502947,0.168460259,6812.687946,Healthcare,3183521.432
15505,3489.115209,0.178070252,0.164843945,6813.798943,E-commerce,3143923.381
18697,3820.799393,0.126770285,0.194121723,8434.898388,Fintech,3090431.367
18105,3473.861817,0.137446759,0.161292478,7594.92778,SaaS,3118253.356
10596,2073.834414,0.136923218,0.176239589,3102.824131,SaaS,3062908.747
25541,4608.683074,0.118536567,0.170859622,11564.58208,Fintech,3118011.461
25097,5700.623669,0.174741765,0.146585647,7381.399245,SaaS,3198738.482
22082,5229.711617,0.098472571,0.228117717,8686.277993,E-commerce,3066255.079
19588,3894.560488,0.137967082,0.17396303,9270.542714,Fintech,3118099.224
10854,2023.506097,0.119446317,0.170438131,5697.009647,E-commerce,3058821.268
17848,3632.083969,0.158386575,0.153516082,5073.284503,Healthcare,3136895.344
18557,3719.631627,0.1450443,0.141040224,8116.74125,Gaming,3145056.944
14747,3119.895158,0.178337771,0.093953156,8175.391959,Fintech,3185458.869
20319,4033.060275,0.162211547,0.143006036,7775.487778,Fintech,3174676.848
